prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,o4-mini,behind-right,behind,0,low,6.47,5
2,o4-mini,behind-right,behind,0,low,4.71,5
3,o4-mini,behind-right,behind,0,low,5.18,5
4,o4-mini,behind-right,behind,0,low,4.45,5
5,o4-mini,behind-right,behind,0,low,2.96,5
6,o4-mini,behind-right,behind,0,low,4.82,5
7,o4-mini,behind-right,behind,0,low,7.94,5
8,o4-mini,behind-right,behind,0,low,2.89,5
9,o4-mini,behind-right,behind,0,low,5.77,5
10,o4-mini,behind-right,behind,0,low,5.36,5
11,o4-mini,behind-right,behind,0,low,4.36,5
12,o4-mini,behind-right,behind,0,low,3.35,5
13,o4-mini,behind-right,behind,0,low,3.61,5
14,o4-mini,behind-right,behind,0,low,4.23,5
15,o4-mini,behind-right,behind,0,low,3.59,5
16,o4-mini,behind-right,behind,0,low,5.17,5
17,o4-mini,behind-right,behind,0,low,4.45,5
18,o4-mini,behind-right,behind,0,low,4.93,5
19,o4-mini,behind-right,behind,0,low,6.08,5
20,o4-mini,behind-right,behind,0,low,6.26,5
21,o4-mini,behind-right,behind,0,low,4.64,5
22,o4-mini,behind-right,behind,0,low,4.82,5
23,o4-mini,behind-right,behind,0,low,5.49,5
24,o4-mini,behind-right,behind,0,low,3.80,5
25,o4-mini,behind-right,behind,0,low,7.52,5
26,o4-mini,behind-right,behind,0,low,4.60,5
27,o4-mini,behind-right,behind,0,low,8.79,5
28,o4-mini,behind-right,behind,0,low,4.85,5
29,o4-mini,behind-right,behind,0,low,5.00,5
30,o4-mini,behind-right,behind,0,low,8.38,5
31,o4-mini,behind-right,behind,0,low,3.94,5
32,o4-mini,behind-right,behind,0,low,4.11,5
33,o4-mini,behind-right,behind,0,low,4.49,5
34,o4-mini,behind-right,behind,0,low,5.44,5
35,o4-mini,behind-right,behind,0,low,3.59,5
36,o4-mini,behind-right,behind,0,low,6.06,5
37,o4-mini,behind-right,behind,0,low,3.91,5
38,o4-mini,behind-right,behind,0,low,5.66,5
39,o4-mini,behind-right,behind,0,low,3.86,5
40,o4-mini,behind-right,behind,0,low,4.28,5
41,o4-mini,behind-right,behind,0,low,3.08,5
42,o4-mini,behind-right,behind,0,low,5.17,5
43,o4-mini,behind-right,behind,0,low,4.75,5
44,o4-mini,behind-right,behind,0,low,3.27,5
